City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
185,Padang,ID,2022-08-05 01:30:21,-0.9492,100.3543,24.03,73,100,0.87
186,Omboue,GA,2022-08-05 01:30:22,-1.5746,9.2618,21.69,83,74,3.93
187,Mayo,US,2022-08-05 01:27:38,38.8876,-76.5119,24.41,93,40,2.57
188,Sulangan,PH,2022-08-05 01:30:23,11.1373,123.7228,26.95,76,100,1.95
189,Chara,RU,2022-08-05 01:30:24,56.9064,118.2631,11.07,84,100,0.52
190,Derzhavinsk,KZ,2022-08-05 01:30:24,51.1,66.3167,18.39,54,2,6.18
191,Menongue,AO,2022-08-05 01:30:24,-14.6585,17.691,13.03,53,1,1.63
192,Hauterive,FR,2022-08-05 01:30:25,46.0901,3.4459,19.42,76,100,1.05
193,Upernavik,GL,2022-08-05 01:30:25,72.7868,-56.1549,6.13,97,100,6.99
194,Olafsvik,IS,2022-08-05 01:30:25,64.8945,-23.7142,9.46,69,100,1.98
195,Lengshuijiang,CN,2022-08-05 01:30:26,27.6881,111.4294,30.62,63,55,2.76
196,Pacific Grove,US,2022-08-05 01:30:26,36.6177,-121.9166,22.44,83,75,4.63
197,Saldanha,ZA,2022-08-05 01:30:27,-33.0117,17.9442,6.03,85,1,3.17
198,Xuddur,SO,2022-08-05 01:30:27,4.1213,43.8894,19.19,85,1,6.87
199,Bengkulu,ID,2022-08-05 01:30:28,-3.8004,102.2655,25.98,78,99,1.25
200,Alofi,NU,2022-08-05 01:30:28,-19.0595,-169.9187,25.94,73,75,5.14
201,Kamenka,RU,2022-08-05 01:30:28,51.3223,42.7678,19.9,61,99,3.44
202,Eyl,SO,2022-08-05 01:30:29,7.9803,49.8164,24.87,68,50,10.77
203,Moura,PT,2022-08-05 01:30:29,38.1401,-7.4486,19.06,72,0,1.63
204,Amontada,BR,2022-08-05 01:30:30,-3.3617,-39.8317,23.03,88,1,2.1
205,Lebu,CL,2022-08-05 01:30:30,-37.6167,-73.65,8.99,79,100,3.66
206,Kichera,RU,2022-08-05 01:30:30,55.9375,110.0997,18.07,48,10,1.29
207,Upata,VE,2022-08-05 01:30:31,8.0086,-62.3989,22.88,94,100,1.29
208,Tiksi,RU,2022-08-05 01:30:31,71.6872,128.8694,8.54,74,43,2.4
209,Beloha,MG,2022-08-05 01:30:31,-25.1667,45.05,16.94,92,2,2.44
210,Souillac,MU,2022-08-05 01:30:32,-20.5167,57.5167,21.21,64,40,5.66
211,Makakilo City,US,2022-08-05 01:30:32,21.3469,-158.0858,28.18,62,100,6.17
212,Bambous Virieux,MU,2022-08-05 01:30:32,-20.3428,57.7575,21.14,64,40,5.66
213,Narrabri,AU,2022-08-05 01:30:33,-30.3167,149.7833,15.85,89,100,2.24
214,Verkhoyansk,RU,2022-08-05 01:30:33,67.5447,133.385,15.31,51,100,2.75
215,Belaya Gora,RU,2022-08-05 01:30:34,68.5333,146.4167,14.85,44,39,3.41
216,Moron,AR,2022-08-05 01:30:34,-34.6534,-58.6198,9.42,80,1,1.57
217,Mwinilunga,ZM,2022-08-05 01:30:34,-11.7358,24.4293,12.67,55,0,1.78
218,Ketchikan,US,2022-08-05 01:30:35,55.3422,-131.6461,18.26,72,75,4.12
219,Luanda,AO,2022-08-05 01:30:35,-8.8368,13.2343,20.0,83,75,3.09
220,Wanning,CN,2022-08-05 01:30:35,18.8003,110.3967,29.31,76,100,3.33
221,Neya,RU,2022-08-05 01:30:36,58.2972,43.8681,19.36,66,100,0.34
222,Mattru,SL,2022-08-05 01:30:36,7.6244,-11.8332,22.74,96,100,1.64
223,Ambulu,ID,2022-08-05 01:30:36,-8.345,113.6058,26.76,63,6,1.23
224,Hun,LY,2022-08-05 01:30:37,29.1268,15.9477,26.4,42,3,5.12
225,Miandrivazo,MG,2022-08-05 01:31:37,-19.5167,45.4667,19.63,82,3,1.02
226,Ahuimanu,US,2022-08-05 01:31:37,21.4447,-157.8378,28.84,68,40,6.17
227,Chisinau,MD,2022-08-05 01:31:38,47.0056,28.8575,19.24,96,0,0.51
228,Esperanza,DO,2022-08-05 01:31:38,19.5847,-70.9849,26.83,77,100,2.24
229,Provideniya,RU,2022-08-05 01:31:38,64.3833,-173.3,9.09,100,100,3.13
230,Qaqortoq,GL,2022-08-05 01:31:39,60.7167,-46.0333,7.75,88,100,1.84
231,Gobabis,NA,2022-08-05 01:31:39,-22.45,18.9667,10.0,27,0,4.19
232,Kisangani,CD,2022-08-05 01:31:39,0.5167,25.2,21.9,91,68,0.87
233,Shimoda,JP,2022-08-05 01:31:40,34.6667,138.95,24.2,80,100,4.97
234,Marquette,US,2022-08-05 01:29:56,46.5333,-87.6335,17.69,82,1,1.43
235,Mehamn,NO,2022-08-05 01:31:40,71.0357,27.8492,11.97,87,9,2.06
236,Vila Velha,BR,2022-08-05 01:31:40,-20.3297,-40.2925,22.97,76,0,4.12
237,Mount Gambier,AU,2022-08-05 01:31:41,-37.8333,140.7667,12.49,73,86,4.19
238,Lakes Entrance,AU,2022-08-05 01:31:41,-37.8811,147.981,18.42,52,12,3.54
239,Adrar,MR,2022-08-05 01:31:41,20.5022,-10.0711,32.51,34,3,4.98
240,Isangel,VU,2022-08-05 01:31:42,-19.55,169.2667,26.67,73,7,2.94
241,San Cristobal,VE,2022-08-05 01:31:42,7.7669,-72.225,22.1,87,59,0.7
242,Vuktyl,RU,2022-08-05 01:31:43,63.8567,57.3094,16.24,69,100,1.0
243,Muros,ES,2022-08-05 01:31:43,42.7762,-9.0603,20.61,69,50,7.37
244,Fare,PF,2022-08-05 01:31:43,-16.7,-151.0167,25.39,77,12,10.7
245,Carnarvon,AU,2022-08-05 01:31:44,-24.8667,113.6333,17.06,48,0,5.78
246,La Ronge,CA,2022-08-05 01:31:44,55.1001,-105.2842,17.14,63,100,8.23
247,Saint-Francois,FR,2022-08-05 01:31:44,46.4154,3.9054,17.69,88,0,1.03
248,Saint George,US,2022-08-05 01:27:54,37.1041,-113.5841,33.33,34,0,8.75
249,Ulaanbaatar,MN,2022-08-05 01:31:45,47.9077,106.8832,15.07,82,40,2.0
